,Ticker,DotCOM %,Housing %,Combined %,Difference
152,EAT,158.13841782990954,97.20798576224922,127.67320179607938,0.4772374406727801
297,LANC,132.6509403323955,81.51883043650082,107.08488538444816,0.47749138183529816
494,SSB,128.27364786032763,78.48070112909876,103.37717449471319,0.48166287166008126
473,SHOO,101.24593689139891,61.75509445960009,81.5005156754995,0.48454714800866555
580,WPC,139.20740710961076,84.04244161168279,111.62492436064677,0.4941993538978496
449,RPM,138.05059868108074,83.2723127452699,110.66145571317531,0.49500781986630743
37,ATO,121.13896507459563,72.84489832675828,96.99193170067696,0.49791839280895855
202,FRAF,145.30165636538607,87.20648536970377,116.25407086754493,0.4997259069050023
91,CCBG,164.98561059140184,98.87064432447178,131.9281274579368,0.501143823844614
429,R,121.2852831594164,72.58330943996063,96.93429629968851,0.5024225230756874
